C,No of Lines
46271.0,32
83687.4,26
41169.7,36
99568.1,22
26941.8,48
14104.7,60
9926.88,74
78834.2,26
73550.9,26
84517.2,26
24762.4,46
62463.7,28
76905.4,26
17365.3,58
91972.3,26
7219.28,86
15578.9,58
50240.0,34
25867.8,44
36579.3,36
7926.43,76
98544.1,22
68581.6,24
11414.0,64
30433.7,44
16072.3,58
44253.6,34
45009.8,34
39654.3,36
24786.5,44
50009.6,34
63569.2,30
62667.9,30
30014.2,38
18649.9,54
71204.7,30
9634.81,66
57960.7,30
86300.5,28
40752.8,34
83136.0,28
5135.25,94
56991.1,30
84545.3,28
50221.6,34
32595.8,44
70727.2,22
9438.45,64
13792.1,58
14150.2,58
49265.8,34
20348.5,46
46611.0,36
3685.55,116
27397.1,38
60369.8,28
5937.24,94
3306.31,126
73756.4,30
26383.9,46
43186.5,40
2239.1,138
15986.0,60
58581.5,32
98811.0,28
28683.8,46
10552.4,72
69762.4,28
69709.7,28
54617.0,30
21543.5,54
96830.9,26
2940.53,134
48779.6,30
65707.8,28
98915.4,26
37912.7,44
41808.1,42
56503.2,36
39045.6,42
33719.5,46
40650.5,42
69336.7,32
46569.3,38
67018.5,32
63076.9,32
78687.9,32
42156.2,38
14421.8,62
50394.5,34
21512.3,50
91075.5,26
58091.3,34
71284.4,32
28328.5,42
99918.3,26
41569.2,36
97321.1,24
9269.9,82
18841.2,58
35453.3,48
76608.4,28
98826.0,22
63887.2,30
89898.5,24
11956.3,74
52565.8,38
70060.9,32
12037.2,76
77230.3,28
10311.8,80
85508.7,28
18379.8,62
51390.2,38
87533.4,28
38441.7,42
35171.7,42
70207.2,34
91684.6,28
87270.7,30
72808.8,32
15579.3,56
61411.3,38
85039.3,30
65813.4,34
41534.2,38
7008.66,88
823.027,176
24023.5,54
36571.3,46
22091.8,60
20778.9,60
68377.5,34
89885.1,30
86548.3,30
43218.5,44
91189.2,20
69229.5,28
69626.9,28
5480.16,92
13272.3,62
63270.8,28
82583.9,24
79834.9,24
85166.9,24
23486.3,52
19603.1,48
42454.8,30
75.8887,204
53295.1,30
3400.29,112
10358.2,66
44409.6,30
95130.9,24
74913.6,26
92013.2,24
3172.5,124
38963.9,38
42596.8,38
61444.4,30
47425.7,38
9445.93,72
29796.0,42
28466.7,42
29188.5,42
95960.5,24
10854.4,70
81477.7,28
85653.0,26
47905.0,34
98113.2,26
25844.3,48
35239.1,40
54168.1,34
42598.0,38
82194.2,28
16131.8,66
81165.0,26
91065.5,24
95601.2,22
65313.7,30
11990.9,80
11330.5,80
12675.8,74
8581.86,86
46561.5,32
18564.8,52
96727.3,26
87628.1,26
35421.4,42
18214.0,52
26448.1,46
20930.3,52
78346.9,28
76141.3,28
43605.3,42
42316.0,36
87995.3,26
72893.4,26
28262.4,44
1950.56,150
43165.6,36
31971.9,40
87721.5,26
42106.0,36
55429.0,28
87084.0,24
30844.4,34
89330.7,24
13187.4,58
52855.4,30
8481.24,82
63190.9,26
29584.5,34
54958.4,30
77959.1,26
3037.24,118
25367.3,50
29832.0,48
68274.3,38
82311.3,26
23978.6,50
31366.4,44
4364.22,106
14822.9,64
83719.0,26
61823.3,32
4707.1,108
39628.3,38
11168.8,74
172.25,208
89055.7,22
82178.5,22
55849.5,34
16048.2,64
38370.8,38
56877.6,28
73885.2,24
71697.2,26
56011.6,28
420.53,200
65670.5,28
83276.0,22
98948.2,20
87314.9,20
36208.8,38
56328.6,28
69509.9,28
23349.8,44
89840.7,22
72261.4,26
6626.75,88
36470.2,42
22637.8,48
142.112,208
60476.5,28
12219.6,64
78288.0,22
82203.9,22
67685.2,22
34822.8,38
32005.5,40
17722.8,56
99585.5,22
65137.2,22
30185.0,44
11985.6,62
53797.9,36
43229.2,38
16734.7,54
77451.1,26
8331.13,76
43099.9,38
27396.3,46
21312.0,50
55440.5,36
15.9022,226
48810.5,34
10764.0,74
61772.8,30
65299.7,28
71386.1,26
31087.6,40
29723.2,42
89890.7,26
40017.3,38
97719.5,26
92719.2,28
120.748,212
77464.4,28
76054.0,28
5538.62,96
59031.2,32
46368.4,32
9327.05,78
31473.9,46
52305.8,34
38028.8,40
88449.4,26
81154.2,26
36500.7,40
31720.2,42
3905.74,124
42545.5,38
34455.8,40
65006.9,28
92958.4,26
51535.0,38
56505.6,36
72770.9,34
31333.4,46
55683.7,36
6457.66,90
34116.4,44
38042.3,42
84392.1,30
52551.1,32
33434.2,38
57170.5,28
94979.7,20
12522.6,62
51155.3,32
66573.5,28
74078.9,26
34941.9,38
7527.22,76
83613.7,26
62754.5,30
35335.0,42
58056.8,36
28383.1,48
65007.6,28
90729.5,24
43802.4,38
37824.7,40
86188.3,24
18950.2,62
54136.2,26
2284.66,154
28345.1,40
64931.2,22
80129.0,20
89567.0,20
87546.6,20
19644.8,62
41682.8,36
89157.6,28
70531.9,28
5145.6,94
73336.1,28
99455.2,26
81415.4,28
22990.9,46
10676.8,66
2433.68,146
94689.5,26
1856.84,152
53685.6,36
28165.4,50
48449.1,38
96043.3,26
79524.2,26
45185.8,38
4151.37,112
21510.7,56
93703.1,26
17013.8,56
49853.8,30
70584.0,26
9659.34,70
62884.4,30
51732.6,30
15861.6,58
17705.2,56
67115.0,28
37657.2,36
15726.6,54
57062.1,30
44481.5,32
24395.7,48
31460.8,42
68464.0,28
83880.3,24
13290.8,62
88003.1,24
29169.7,44
37420.8,36
21260.0,50
83535.5,22
89309.1,22
90042.1,22
68636.6,24
79157.0,22
9322.97,80
20894.1,50
55751.6,26
30456.6,40
81574.1,22
2453.06,152
70867.2,24
77134.5,22
5028.67,108
96482.6,22
57594.9,34
90518.1,22
39058.3,38
10599.1,80
34726.8,46
64505.1,30
19130.1,60
82502.8,24
45848.0,32
5563.9,104
47254.2,32
51090.4,32
21868.3,58
11114.1,66
47062.0,38
88922.1,30
32833.5,40
59038.6,32
94254.1,30
88449.3,30
44149.6,38
5481.6,96
4000.89,104
95297.3,30
13936.6,66
61478.9,38
31423.9,52
29573.3,52
12537.0,70
53654.7,38
47464.6,44
87189.4,30
13379.4,66
81875.5,26
75440.7,28
54024.0,34
89590.9,26
78138.8,28
3957.88,116
5216.03,110
70689.4,34
1726.26,150
88063.6,26
64230.6,30
11877.5,66
99609.6,24
68158.0,30
46158.7,36
78356.5,24
62230.2,30
59056.6,30
29332.5,44
40346.1,38
8953.81,72
8685.44,72
74528.9,28
78806.6,26
32393.2,40
8572.64,72
13553.6,64
17967.6,54
46747.9,38
37293.5,38
68319.8,32
21553.7,48
3324.88,122
10444.8,70
48528.7,34
12596.5,64
82986.4,30
45449.8,40
48517.8,34
58593.5,34
93941.0,26
27175.8,32
21781.9,44
93603.4,26
73160.1,30
68410.9,30
82551.4,30
44125.6,32
22726.2,40
99111.5,26
86477.5,26
80880.0,28
95910.4,26
39636.7,38
19581.0,56
82261.9,26
63159.5,32
33049.6,42
76354.1,28
73301.1,28
20301.6,54
3287.07,134
58904.7,32
12458.6,68
26512.3,46
71652.2,30
38964.0,40
7704.81,86
51205.9,38
3678.88,126
35804.1,40
60405.2,34
53586.3,36
40188.9,38
87781.0,30
96993.8,30
1287.74,182
30508.1,44
80773.6,30
54111.2,36
31160.2,46
32380.3,44
47901.7,36
56888.4,34
19168.1,50
62369.8,34
54216.9,36
67905.0,32
60126.0,34
59582.1,34
43987.1,46
44194.2,46
27695.9,54
19957.8,62
83303.4,36
77878.8,36
53885.5,42
59902.8,40
67808.1,36
59131.8,40
34107.2,44
89513.0,28
80641.3,32
19987.7,58
32916.3,44
32744.8,44
62458.3,34
36328.4,44
41886.5,40
20254.9,58
82887.8,26
3577.02,124
13635.2,64
4225.79,114
97141.2,24
71400.4,30
69399.2,30
97608.9,24
93143.8,26
77907.2,26
69666.4,22
99573.5,18
61942.9,22
24948.0,40
21623.7,42
79480.0,22
14733.5,50
97156.7,18
89181.9,18
95024.1,18
87909.5,22
63816.4,22
55234.0,24
70554.2,22
78798.2,22
45355.0,30
72210.0,22
51854.6,28
31801.0,44
97192.8,22
82017.1,28
41657.7,36
85317.9,28
34423.1,40
49236.8,30
60084.0,28
31760.8,42
4914.41,106
74923.8,28
19965.7,54
54139.9,30
92625.6,26
4428.1,108
94484.8,26
28779.0,40
90176.6,26
46981.8,30
73917.9,28
41877.2,30
68596.1,28
76240.8,30
58410.6,40
77866.5,30
86234.9,30
2730.49,134
7377.12,78
22855.5,50
5856.08,92
42111.3,40
72778.7,34
52555.4,24
63591.7,20
51694.9,24
86432.0,18
72154.5,20
80063.2,18
28204.1,42
29337.5,42
78128.1,18
82464.8,18
30226.8,44
83141.2,28
353.378,232
7686.93,78
50699.2,40
90142.4,28
38202.5,42
67979.0,32
72955.5,30
21424.1,48
97656.6,22
10946.4,64
6769.07,80
53393.5,32
1558.89,168
82588.1,26
33577.9,38
93635.6,26
96133.0,26
27695.1,38
90306.4,22
41543.7,40
25231.9,48
64246.8,34
26417.4,48
17508.9,60
6070.68,86
82187.2,28
80294.5,28
36734.4,40
15538.6,64
13689.7,70
42487.2,38
11432.0,72
68232.9,30
95076.3,24
42842.2,38
95839.8,24
86719.2,24
91052.4,24
97093.8,26
7358.41,82
80649.3,26
4003.21,112
21768.2,48
22062.6,48
56583.4,30
70260.9,28
80809.8,26
31286.2,42
47669.7,34
71711.9,22
2430.32,162
28975.9,48
39252.9,42
44570.4,36
86502.9,22
54204.6,32
99145.6,22
2442.64,160
12402.3,58
45173.6,30
41547.3,30
37777.5,30
74246.5,26
62020.2,28
45868.3,30
24828.7,42
85810.0,26
21967.7,48
61613.2,32
56873.2,32
21618.1,50
27860.4,44
99027.1,22
37580.2,34
41090.9,32
10832.3,66
33050.8,38
14872.2,58
73948.3,18
42305.6,34
26275.2,40
63193.0,22
96588.5,16
39557.0,34
81567.3,18
55004.9,26
13445.8,62
86100.2,16
5279.91,102
98531.9,26
11767.0,80
64059.8,34
80109.6,28
30906.6,46
34756.3,44
81858.0,26
5308.82,102
89813.1,26
4328.77,114
33989.7,36
21309.0,52
68337.7,24
1824.15,168
44268.2,34
51286.2,30
80781.6,22
19761.5,52
33865.4,36
76523.0,28
49899.3,34
78264.2,28
90728.6,28
84856.9,28
65646.3,30
99232.5,28
33397.6,42
8240.37,80
38388.7,38
17611.5,52
2791.55,128
42706.1,42
74265.3,34
5765.1,86
70710.1,34
68067.8,34
84910.7,28
60512.1,38
86544.1,28
70904.3,26
99696.8,20
79728.8,24
42840.4,38
16780.2,56
89357.3,24
45731.1,36
97205.1,20
59769.3,26
43655.3,36
53513.2,28
18307.3,56
33031.3,42
63708.1,26
3861.67,104
84875.2,26
20529.5,54
76095.5,26
84984.1,26
86472.0,26
10330.7,62
30110.8,42
16.5814,274
71347.4,24
36711.5,38
71917.6,24
35759.1,40
79105.4,24
19089.0,54
46275.3,30
93831.9,20
75072.3,30
47386.4,36
62194.6,32
13832.1,66
97764.5,20
24220.2,46
48426.5,36
34982.6,44
97687.5,20
492.976,226
98292.2,24
33446.9,40
70298.6,28
98513.9,24
5255.66,96
21320.3,48
30439.3,44
63851.5,30
5679.48,94
79935.6,32
3974.19,110
45388.3,38
27486.3,44
74612.0,32
53288.4,38
76443.1,32
25593.8,44
84733.4,28
95550.3,26
38668.3,36
62692.1,28
35208.0,40
71070.3,26
68573.6,26
26290.2,48
1261.94,188
83925.5,26
61033.7,28
97328.1,22
46496.4,34
59010.4,32
4092.8,116
90666.1,26
63075.2,32
94120.6,26
18054.9,54
75803.6,30
76305.1,30
50375.5,34
30069.4,44
36666.5,40
86952.9,28
69427.0,28
7381.98,82
82103.8,28
98799.3,26
10681.9,68
32282.4,42
98524.4,26
67738.2,30
94392.9,26
75266.8,30
85827.2,26
53091.3,36
53390.7,36
15196.3,56
37587.5,40
74552.2,30
49462.2,36
30903.5,42
7943.83,78
13820.3,58
61658.8,26
68570.4,24
27408.8,44
2239.83,144
30091.0,44
41882.6,38
40772.2,38
40624.9,40
97390.2,28
75235.4,30
29657.7,44
62591.3,34
8747.22,78
87994.1,28
87487.5,28
50770.0,36
77828.5,30
70472.7,22
33949.4,36
59249.6,26
2034.05,166
2441.19,146
32539.1,36
37295.2,36
1556.53,182
51233.2,28
46721.9,28
31648.5,34
89137.9,22
80300.9,24
93371.2,22
37692.4,32
50188.6,32
56332.8,32
70003.6,30
62726.8,30
35862.5,32
44524.4,34
41931.4,34
12744.5,58
22865.3,50
11540.0,60
30868.2,46
67069.0,28
28873.9,46
77977.2,28
93197.6,24
35905.5,42
50403.6,36
44432.2,36
87600.1,26
45668.8,36
57721.8,34
89414.8,26
92728.4,26
14674.1,64
59891.5,34
61679.7,32
4116.25,110
63777.9,26
63508.5,26
17906.3,50
79943.3,22
90654.8,20
42848.4,34
49871.0,32
79018.8,22
24836.7,50
26304.1,46
40621.0,40
93804.5,30
31340.0,44
75309.5,32
86781.1,30
23994.9,50
79547.2,32
90498.2,30
84967.1,30
8206.24,84
1505.52,194
52614.5,38
84783.6,30
77706.2,32
76777.2,32
962.125,204
81178.7,32
37803.5,42
85810.6,26
21128.7,48
92072.0,26
97216.3,26
8511.03,78
58359.2,34
90607.5,26
17289.1,58
40482.9,38
31962.5,44
88715.2,22
20375.9,60
89733.4,22
28742.7,52
43645.6,42
12582.7,72
63751.5,26
49895.3,36
10560.5,74
34443.7,42
73239.8,22
72968.3,22
73986.4,22
23321.2,50
89587.7,22
61481.6,24
85149.8,22
15679.1,56
98959.9,22
79260.2,22
32028.3,34
90245.9,18
66606.3,22
35819.4,34
2731.07,130
63606.6,22
5907.62,92
14968.2,50
98123.7,16
71377.3,22
11775.2,62
81351.2,24
97180.4,22
82951.1,22
59568.9,28
18376.0,48
5512.32,98
90843.0,22
882.226,200
80979.8,26
18565.6,54
38738.4,40
53042.8,34
1996.23,160
49759.7,34
81792.1,30
71016.0,32
14678.9,64
11953.4,68
36184.4,42
30671.0,44
98588.5,26
71083.8,28
81044.1,28
31581.5,44
96687.3,26
83949.1,28
2188.89,142
42000.8,40
92983.9,26
36635.7,48
93877.1,30
29516.4,48
78101.1,32
81584.6,32
27043.2,48
42245.3,42
98196.0,30
66296.2,32
56396.5,34
77041.0,26
25290.3,52
19447.8,56
62738.2,28
45597.7,34
56156.2,30
56844.0,30
13911.5,62
38018.3,38
80510.9,26
28716.1,40
53355.8,32
78947.6,30
30726.5,38
56466.5,32
56850.7,30
34616.3,38
47473.0,34
91341.9,24
91212.6,24
91001.8,22
93922.7,22
57254.1,30
22140.4,52
264.285,262
87178.8,24
58397.1,30
56140.9,30
30368.7,44
58475.0,30
21898.5,54
97961.0,26
8729.85,72
39728.9,36
4547.78,110
23828.6,54
2378.51,146
500.131,246
87982.1,26
9755.75,66
4971.03,114
48562.0,28
54895.4,26
12674.6,60
51334.2,26
24244.7,44
34262.6,36
42695.7,28
32248.1,36
74109.6,22
65983.8,34
98234.0,26
5835.14,92
62739.9,34
65560.8,34
41136.8,44
84636.7,28
22383.9,54
71476.1,30
83355.6,28
6557.23,96
12596.8,76
14966.9,62
37587.7,40
14287.9,68
42250.4,36
48099.6,32
3622.7,120
23045.7,48
47437.3,34
57680.2,32
67228.9,32
6762.18,84
10700.4,68
47762.1,36
81775.1,30
46032.1,36
48348.1,36
59357.8,32
64995.8,32
14849.1,66
70578.5,26
20573.0,52
25371.7,42
49905.6,32
31725.2,36
5946.88,94
57217.5,28
46488.9,34
54973.6,30
31656.7,46
79529.7,28
24266.5,50
48682.1,38
75779.3,32
67224.5,32
51829.4,38
19941.3,52
61752.5,32
93115.6,26
41510.5,34
32810.6,38
7584.22,74
32421.6,38
18170.2,48
86533.8,28
73239.2,30
14682.2,56
16803.6,48
26045.0,40
25195.6,50
32632.7,42
13043.2,64
39990.8,36
45258.0,32
68561.5,30
9963.68,70
43056.7,34
8159.28,76
68197.6,30
35844.7,42
65252.1,30
46936.1,36
67952.0,28
13253.4,56
47540.7,36
84633.5,26
96581.9,24
46975.7,36
42832.7,42
57270.4,44
69465.7,36
36853.8,44
68484.3,36
162.689,280
62118.8,38
76105.3,30
36680.7,44
97196.7,28
47429.9,44
87419.6,28
36168.1,38
45287.0,36
23090.3,46
12432.9,70
12941.3,70
67632.4,28
40980.5,36
57304.1,32
54044.9,34
45182.1,40
44715.4,40
67685.1,24
16966.9,58
21220.6,52
75465.8,22
9226.46,80
87617.2,20
3190.49,130
18298.4,58
47285.5,36
30146.0,42
21892.5,54
31086.7,38
3579.77,136
56591.4,28
4372.02,126
42353.2,36
6380.17,104
8519.95,90
42979.4,44
11305.2,76
49554.0,34
45994.1,38
82475.2,32
66255.0,34
54766.1,34
40685.1,46
62628.8,34
31149.5,54
44976.9,30
1889.81,162
74105.0,26
22798.8,48
74545.8,26
43239.6,30
7750.16,90
66452.3,26
37006.5,34
42733.1,30
13314.5,62
69170.9,30
91936.2,30
200.414,278
57341.1,32
78077.7,30
39854.0,40
15606.2,60
84587.0,30
80972.1,30
99695.5,26
35250.7,40
33043.1,40
63253.1,32
35172.4,40
32969.5,40
71581.8,30
73202.5,30
51854.1,34
39178.0,40
13644.8,64
96062.2,22
80824.0,28
85188.7,26
94545.2,24
49231.5,38
92495.5,24
39670.3,42
90519.9,26
11332.8,74
95835.0,24
68375.9,26
60562.0,28
19623.5,60
38174.6,40
68770.6,26
89105.0,24
69870.1,26
37059.1,40
64299.7,28
83840.1,24
31495.9,44
59899.3,34
36494.8,40
519.87,260
87596.6,24
34712.5,42
36091.2,40
25496.3,48
89524.8,24
36161.2,42
37221.4,42
45328.6,40
49279.0,38
40531.4,42
57833.8,36
63675.5,28
22703.8,54
61707.1,34
40736.7,42
44555.9,30
7969.32,82
35322.6,30
87479.1,26
58671.2,26
47317.0,30
17392.4,46
92270.7,26
52106.7,30
19056.7,46
81258.6,30
97030.3,28
69694.4,36
56807.3,38
71546.1,36
62545.7,36
16146.3,66
19364.4,58
1117.28,202
27486.5,54
71299.8,32
14964.4,56
99599.2,26
82438.4,26
3605.07,128
12445.8,62
31845.0,44
92516.4,26
46381.7,38
39795.5,40
28393.5,42
70378.4,30
11679.5,64
56480.1,32
86989.4,24
10302.6,78
23829.2,44
54118.6,32
89695.3,24
50800.8,34
60282.6,28
43834.9,36
10057.1,64
30.1036,320
93311.9,26
26793.0,46
14072.8,60
74135.4,28
84815.7,26
7953.22,74
66707.3,32
84679.2,28
44162.7,36
84998.0,28
86647.6,28
37319.8,38
4611.31,112
17058.8,56
6283.41,94
50266.9,32
85897.6,28
7866.46,88
32891.6,46
1469.06,192
46691.5,40
35684.7,44
60804.2,34
12523.2,66
52003.3,38
47888.9,38
8587.69,84
70007.9,26
89343.0,26
87251.5,26
51830.8,30
44709.2,30
53149.7,30
96472.5,26
1869.47,170
37648.1,38
1848.33,160
99406.6,26
51996.3,38
38142.3,38
51240.6,38
1806.21,160
59021.4,34
49704.1,38
85206.5,26
94464.9,26
10443.0,74
34373.9,40
3941.88,110
73072.5,26
95075.8,24
97773.8,22
52374.6,36
93671.6,24
31068.9,44
17626.6,58
20954.1,46
9850.66,74
71209.8,30
20609.2,46
50296.6,32
49131.8,32
2451.97,152
62097.5,30
10734.4,74
47288.2,32
42795.8,36
13431.2,64
29187.3,38
68068.1,28
22254.0,46
62046.9,28
31800.6,38
73589.7,28
55742.7,32
16666.8,54
45281.7,36
43630.4,36
33516.6,44
11092.3,68
63762.5,30
85696.7,30
25713.1,52
80111.5,30
78982.8,30
34079.6,44
51069.9,20
44875.4,24
24886.2,40
88647.3,18
86033.7,18
98134.2,14
18354.7,44
82878.6,18
35591.1,28
90242.3,14
48698.1,36
13210.7,64
29241.0,48
14064.4,64
56501.8,36
56768.9,36
54357.4,36
62571.8,36
8418.35,86
16962.0,56
62980.1,26
45933.9,30
42616.5,32
83647.3,20
3279.82,120
77640.2,24
43745.8,30
67586.9,26
43827.5,30
74636.2,26
35055.4,38
56143.8,36
20192.2,44
8314.63,76
9822.33,62
95952.7,26
64671.4,32
19348.2,44
22815.5,42
22591.6,42
78353.9,28
49000.4,38
10895.8,72
90415.5,28
40176.0,40
14877.8,58
80008.5,28
26739.8,46
10058.7,76
31047.8,46
89604.2,24
59481.2,30
8319.74,72
60901.4,30
59212.5,30
90524.1,24
48104.2,32
21246.6,50
76906.5,24
39032.2,36
94393.0,22
86170.6,22
79860.3,24
3078.32,128
71187.6,26
20157.4,48
82945.7,24
78669.4,26
48543.5,34
3357.34,126
76339.8,26
60966.6,28
36248.8,36
67536.4,28
92153.7,26
72268.2,28
10949.5,64
12922.0,58
76335.5,26
97303.9,26
8056.63,90
46395.4,36
76977.2,30
19820.1,56
41920.4,40
60142.1,36
14168.3,70
14351.3,70
17872.4,62
6734.01,92
34169.1,38
36499.2,38
60440.2,32
53680.5,34
61567.4,32
75413.9,30
47661.5,36
77323.5,30
89036.3,30
82609.3,30
26970.2,46
51391.6,36
40250.2,38
6028.17,88
23738.0,46
11520.9,60
38258.1,40
47675.9,36
70784.0,28
36518.5,40
56534.8,38
60407.7,38
28677.6,54
79349.8,36
50832.9,42
38449.8,50
97209.0,34
69837.4,36
94741.2,34
45835.1,44
12553.9,66
45813.1,32
86382.2,22
85434.1,22
86210.3,22
75108.1,24
31815.0,36
20531.8,48
29051.1,36
56304.6,28
69293.4,32
8425.71,74
40910.9,42
85010.6,28
14740.7,54
34456.0,42
34926.0,42
88082.1,28
35416.6,42
88908.1,28
33155.3,40
22497.1,52
12214.3,64
85126.7,20
44677.4,30
99146.0,20
94342.0,20
75233.4,24
88363.9,20
84296.6,20
53470.7,34
7786.39,94
55739.1,34
34269.5,44
39532.4,42
23312.8,48
39121.0,42
50516.3,36
41781.8,42
25776.9,48
3899.59,112
89063.5,24
7887.85,84
25077.0,54
15791.8,64
28918.1,50
87129.8,24
47034.7,34
70341.8,26
35888.1,42
13475.9,56
66716.7,28
66961.6,28
57468.7,28
27799.5,38
21983.8,42
2738.53,142
71.2048,324
25917.0,38
85936.4,24
83041.8,26
81906.0,26
48642.3,44
14264.6,58
8037.23,82
42765.3,44
66245.6,36
99722.7,26
23783.3,50
31842.8,46
31474.2,40
51305.0,36
63714.8,32
23687.1,44
42528.6,36
33556.8,40
95425.3,26
81658.8,28
38853.7,36
49004.1,36
15872.3,56
23985.0,50
82627.3,26
38590.0,38
50014.5,30
21522.0,50
2762.93,152
33036.3,42
72464.1,26
80598.4,26
39222.8,38
55986.8,36
37051.5,42
51503.7,36
99014.8,20
32625.1,48
85320.1,28
63360.7,32
99944.5,20
40116.3,38
27992.7,40
51837.0,30
5675.46,92
59982.9,30
78526.5,28
25660.0,42
41756.3,36
18089.8,52
59927.2,30
50399.7,30
5352.28,100
58390.7,26
64088.8,20
6858.62,90
71026.6,20
55310.9,26
4178.41,114
54841.6,26
35472.1,36
82258.7,20
60274.1,28
65477.3,26
2518.27,136
88265.6,24
3249.18,120
73449.2,26
71241.1,26
39017.0,34
232.338,304
46444.6,32
22814.9,52
78207.0,28
38549.5,38
77258.2,28
86964.9,28
40271.0,38
85482.6,28
3210.21,122
25398.9,52
20003.5,54
14685.0,62
49451.1,36
6679.84,90
71769.2,32
89197.0,32
23447.4,44
21557.7,48
589.9,264
82636.3,32
4356.64,112
69559.8,34
41999.4,42
84832.7,30
22168.8,50
51377.7,40
75289.1,32
61723.2,36
97695.7,30
82630.4,30
68497.4,34
22521.7,52
58751.7,36
13649.5,68
31276.7,46
29789.4,48
23571.1,52
94038.1,26
33322.2,46
60850.2,36
99397.1,24
18618.3,58
65368.5,38
74391.5,32
52360.3,38
62094.0,38
82515.0,30
88468.9,28
23878.7,58
88356.9,28
37684.4,46
2463.08,136
92234.0,22
12581.6,64
87364.2,22
36263.8,34
62680.2,24
23441.4,50
31130.3,38
61236.0,24
92150.8,22
22270.0,56
99047.2,26
33233.0,48
61796.2,34
49588.2,34
2177.41,166
58481.5,34
91834.1,26
17606.5,62
2663.86,144
97397.0,20
8066.95,80
65264.6,22
7043.71,82
70373.8,22
23926.3,50
22519.0,50
56832.2,30
7892.94,80
44796.5,36
67046.7,28
44011.9,34
21645.8,50
55035.8,30
78066.7,24
11657.7,72
9592.86,74
73440.4,28
67951.8,28
77241.0,24
50782.8,34
85672.4,22
95631.9,22
48452.0,34
97934.1,22
1376.98,184
56917.2,34
99280.5,22
7237.51,90
17228.3,56
6475.81,90
14771.1,62
27947.7,46
64285.2,32
53397.0,32
96818.7,26
75469.8,32
87531.7,26
81940.4,30
16733.0,54
31200.9,34
67745.8,26
62465.5,26
46042.3,28
5646.68,94
29960.4,34
43801.8,30
63074.0,26
63769.3,26
33376.9,34
20622.0,54
1777.83,174
86138.4,24
85140.8,24
73088.7,26
16615.5,62
9676.57,72
76010.0,26
73388.5,26
32880.1,36
14205.6,56
4817.22,104
62190.8,32
83367.8,28
29062.7,46
19811.2,48
74051.3,28
44945.1,40
84492.0,28
19889.9,48
30557.7,36
34642.3,36
34322.3,36
53047.6,28
8115.08,78
3710.19,114
21865.6,44
53795.5,28
26653.0,36
25526.7,42
16006.0,60
35388.2,36
88096.5,24
79064.0,24
26096.9,48
12499.1,62
37392.2,34
22434.5,50
43401.5,32
75142.4,24
85794.8,22
52872.8,30
42182.2,32
26220.6,40
21893.9,46
90298.0,22
91771.7,22
68613.7,26
87507.0,22
18714.6,52
92751.6,22
44422.3,40
87135.6,26
90412.7,22
32933.0,44
79085.6,28
38173.8,44
2832.19,132
65855.9,30
1432.33,194
65363.2,36
82623.1,28
76572.0,30
41104.9,44
15436.0,58
18738.9,58
11181.4,74
15237.6,58
22829.2,50
88806.6,26
29576.0,48
5076.3,96
87955.8,30
29686.9,48
88865.1,30
30461.9,48
27024.5,48
58809.8,34
52621.6,34
6237.52,86
45568.9,34
97759.4,20
83065.1,24
81086.1,24
47350.4,30
88211.5,24
13538.1,70
14839.8,68
89566.4,24
86662.4,24
65932.7,22
85133.8,20
56136.0,26
7254.21,78
53218.3,26
14256.2,58
81512.5,20
33265.7,40
96410.9,18
54972.3,26
19018.1,48
79029.6,26
16788.1,48
54292.0,32
99294.4,24
21662.3,46
83465.3,26
10072.8,70
4499.52,100
32641.3,36
59327.0,36
48062.1,42
41445.9,44
23805.5,48
86455.1,28
72860.2,30
8500.65,82
19242.3,52
46397.3,42
20320.4,52
84299.3,26
56680.6,34
26080.8,44
97738.2,22
90853.6,26
29615.8,40
29163.7,40
10033.8,66
59105.5,34
61423.3,34
63541.9,30
36659.6,40
75603.1,28
13552.9,60
5094.74,98
16425.6,54
69012.3,30
31084.9,40
64584.7,30
12842.4,62
75512.7,34
35987.5,44
99498.4,26
83712.0,30
61925.0,36
71101.5,34
78890.6,34
23112.5,52
46267.8,40
31233.1,44
67055.8,32
20841.5,48
43808.6,38
5482.43,102
98863.9,26
45647.6,38
93611.7,28
99683.9,26
91338.4,28
52199.0,38
98493.0,24
65633.1,32
86134.2,32
40175.9,40
50611.3,38
15576.2,58
91408.5,26
74263.8,32
2536.29,132
10237.5,70
25335.0,52
49839.4,42
76902.1,36
9464.29,74
74459.4,36
89087.1,32
85563.1,34
20569.1,52
77351.9,36
89137.7,32
47630.3,38
90198.7,26
61487.3,36
39833.0,42
48350.7,38
26556.5,54
48485.9,38
55984.2,36
16746.6,64
40953.3,38
75008.6,24
88262.9,24
74182.5,24
76310.6,24
52167.8,28
25818.4,36
50172.4,30
56410.9,28
56486.5,28
43842.5,30
36856.6,38
99831.1,20
50277.1,32
5003.91,116
4832.84,116
31955.2,40
76218.9,24
80345.7,24
91413.9,20
48282.7,32
17798.0,48
54226.2,24
49836.2,24
63853.0,20
78530.3,20
66044.6,20
31392.2,38
89632.5,20
78464.3,20
82007.2,20
48331.0,32
22780.7,42
470.545,294
19564.3,46
53131.2,32
70675.0,26
8813.45,64
5595.51,102
52964.4,32
63023.8,28
52015.8,32
71160.3,32
86997.1,32
12602.0,58
11561.7,60
