C,Lines,N
0.820136,4,36
9.24087,4,36
2.19704,4,36
4.24744,4,36
6.7729,4,36
2.21006,4,36
4.07105,4,36
2.61541,4,36
7.34289,24,37
4.4715,24,37
7.85003,24,37
9.93222,24,37
8.15197,24,37
5.54887,24,37
1.07592,24,37
2.58589,24,37
5.66836,24,37
7.45595,24,37
3.08696,2,38
0.693472,2,38
4.23973,2,38
5.26858,2,38
7.87777,2,38
5.07792,2,38
9.99635,2,38
4.23395,2,38
4.17308,2,38
5.62419,2,38
7.95752,14,39
7.6359,14,39
0.348142,14,39
9.39652,14,39
5.05913,14,39
1.8625,14,39
7.06348,14,39
0.664009,14,39
6.64328,14,39
0.629652,14,39
0.403901,24,40
7.15158,24,40
9.18152,24,40
2.60038,24,40
1.89266,24,40
1.08251,24,40
8.09352,24,40
1.4656,24,40
0.270027,24,40
3.2882,24,40
8.3976,4,41
5.81453,4,41
9.11536,4,41
9.53252,4,41
5.05935,4,41
0.156757,4,41
7.74892,4,41
3.76273,4,41
5.17741,4,41
2.60971,4,41
8.33485,18,42
8.58889,18,42
2.23728,18,42
3.0912,18,42
4.57296,18,42
6.59456,18,42
8.34242,18,42
9.09828,18,42
9.58043,18,42
2.00079,18,42
5.36713,14,43
8.4059,14,43
6.9468,14,43
4.86687,14,43
0.915954,14,43
9.03526,14,43
5.366,14,43
9.36687,14,43
9.44716,14,43
0.505945,14,43
5.14717,40,44
9.43811,40,44
3.35078,40,44
3.28224,40,44
4.98629,40,44
7.7637,40,44
9.93598,40,44
8.92801,40,44
6.79644,40,44
5.74251,40,44
3.07332,18,45
2.79824,18,45
9.00385,18,45
4.56758,18,45
8.66591,18,45
1.77869,18,45
0.186157,18,45
4.17177,18,45
1.15451,18,45
6.21171,18,45
4.68482,22,46
0.692403,22,46
2.75466,22,46
5.12276,22,46
9.71754,22,46
5.14377,22,46
8.49121,22,46
6.09237,22,46
3.25732,22,46
7.16194,22,46
0.871125,18,47
5.58063,18,47
6.88933,18,47
8.17151,18,47
9.93498,18,47
3.46763,18,47
1.66496,18,47
9.59094,18,47
5.5844,18,47
4.42322,18,47
2.13014,20,48
8.42274,20,48
2.26113,20,48
4.10931,20,48
1.16602,20,48
8.88736,20,48
1.38513,20,48
7.27765,20,48
3.00868,20,48
8.23432,20,48
4.41998,26,49
0.574139,26,49
8.82406,26,49
0.379953,26,49
8.25678,26,49
5.90386,26,49
5.51282,26,49
6.95492,26,49
8.3958,26,49
2.58342,26,49
8.26943,44,50
7.41518,44,50
7.36816,44,50
6.36883,44,50
2.91708,44,50
0.0687676,44,50
9.69435,44,50
4.11889,44,50
8.18062,44,50
0.928281,44,50
4.02033,12,51
5.64246,12,51
8.4341,12,51
4.75066,12,51
5.94675,12,51
8.35046,12,51
0.168784,12,51
6.48409,12,51
4.0928,12,51
9.06482,12,51
2.62395,20,52
8.78203,20,52
4.38077,20,52
5.09043,20,52
5.86104,20,52
0.858075,20,52
6.227,20,52
4.06695,20,52
0.169783,20,52
7.8957,20,52
7.07378,48,53
2.75523,48,53
8.09647,48,53
0.23073,48,53
2.33094,48,53
3.46081,48,53
8.72758,48,53
1.79952,48,53
8.33862,48,53
4.81301,48,53
2.24889,24,54
7.81278,24,54
5.69527,24,54
8.6773,24,54
2.25432,24,54
8.73495,24,54
7.25267,24,54
3.90415,24,54
8.88768,24,54
0.856157,24,54
4.81506,52,55
7.27822,52,55
1.87206,52,55
7.27188,52,55
