C,Lines,N
8.93931,106,155
6.69082,106,155
2.07823,106,155
4.52063,104,156
2.25789,104,156
6.58962,104,156
8.96652,104,156
8.63493,104,156
1.31708,104,156
1.26964,104,156
5.07857,104,156
0.124961,104,156
6.22646,104,156
3.40196,82,157
9.60715,82,157
4.26213,82,157
5.3739,82,157
4.811,82,157
7.03817,82,157
3.68853,82,157
3.32488,82,157
9.29903,82,157
9.86867,82,157
9.33651,64,158
0.455986,64,158
5.38702,64,158
0.589715,64,158
4.69351,64,158
0.0967664,64,158
9.31617,64,158
4.99771,64,158
8.16189,64,158
1.83042,64,158
2.03496,110,159
3.80724,110,159
6.68081,110,159
0.984213,110,159
5.80618,110,159
7.76585,110,159
2.84785,110,159
1.80936,110,159
3.71332,110,159
8.82668,110,159
4.41875,96,160
2.30485,96,160
5.98999,96,160
1.73338,96,160
7.1924,96,160
1.33817,96,160
6.65183,96,160
4.92896,96,160
8.11056,96,160
5.22465,96,160
0.00614116,110,161
0.51522,110,161
0.503529,110,161
6.37405,110,161
9.41703,110,161
4.74241,110,161
4.87774,110,161
7.01027,110,161
3.55189,110,161
7.07518,110,161
4.73712,68,162
5.1635,68,162
7.71586,68,162
5.79185,68,162
7.27249,68,162
5.5747,68,162
7.46141,68,162
4.63529,68,162
3.1166,68,162
6.96986,68,162
8.24757,62,163
2.53282,62,163
7.66779,62,163
5.13807,62,163
9.56941,62,163
1.23038,62,163
6.51707,62,163
7.93191,62,163
2.74475,62,163
9.78424,62,163
3.48154,66,164
7.59365,66,164
4.19316,66,164
0.339626,66,164
5.73213,66,164
0.551768,66,164
7.76985,66,164
3.52346,66,164
1.77012,66,164
7.96777,66,164
3.52729,102,165
4.50568,102,165
4.01858,102,165
1.50503,102,165
1.98862,102,165
0.648699,102,165
3.70932,102,165
8.22772,102,165
8.58051,102,165
5.21551,102,165
7.90982,34,166
7.41218,34,166
8.91403,34,166
8.12706,34,166
2.73606,34,166
5.16596,34,166
2.11649,34,166
5.49228,34,166
2.61527,34,166
5.57736,34,166
0.911065,96,167
3.32898,96,167
1.62281,96,167
9.33908,96,167
9.61869,96,167
3.74127,96,167
0.272606,96,167
3.84352,96,167
8.43193,96,167
5.27293,96,167
2.37304,108,168
8.81033,108,168
6.01775,108,168
2.68324,108,168
1.04492,108,168
1.20155,108,168
9.27421,108,168
7.47591,108,168
6.81687,108,168
0.142924,108,168
7.41787,74,169
3.67151,74,169
9.67671,74,169
0.990061,74,169
9.35136,74,169
8.98515,74,169
1.39537,74,169
6.30661,74,169
1.41489,74,169
1.15522,74,169
4.44524,86,170
2.06174,86,170
2.10515,86,170
5.79396,86,170
5.57165,86,170
7.14294,86,170
6.55195,86,170
9.72027,86,170
6.00063,86,170
8.41167,86,170
7.80409,126,171
5.74328,126,171
2.15253,126,171
4.70939,126,171
2.56786,126,171
5.74767,126,171
3.28256,126,171
9.36782,126,171
8.14441,126,171
0.170266,126,171
1.89419,102,172
4.8341,102,172
9.05503,102,172
1.10769,102,172
8.93508,102,172
7.53166,102,172
8.45759,102,172
9.55853,102,172
1.0747,102,172
9.52586,102,172
8.33616,88,173
7.29633,88,173
3.26141,88,173
3.17718,88,173
0.648441,88,173
5.63354,88,173
8.79545,88,173
1.25375,88,173
3.10597,88,173
3.38088,88,173
0.0405549,100,174
8.00071,100,174
9.58547,100,174
7.73903,100,174
4.31102,100,174
6.47901,100,174
9.61323,100,174
5.37315,100,174
6.98478,100,174
0.644528,100,174
1.79982,82,175
7.72124,82,175
9.10403,82,175
2.87976,82,175
8.7301,82,175
8.4004,82,175
9.85181,82,175
2.85541,82,175
5.55311,82,175
2.57928,82,175
1.60516,122,176
2.87285,122,176
9.16072,122,176
2.40744,122,176
2.9686,122,176
6.24387,122,176
0.435822,122,176
6.39694,122,176
8.75671,122,176
6.67333,122,176
8.22087,82,177
6.88506,82,177
3.07615,82,177
3.93034,82,177
8.42747,82,177
2.84904,82,177
7.56029,82,177
2.55658,82,177
1.83519,82,177
8.65685,82,177
4.8332,124,178
9.25217,124,178
0.0465399,124,178
0.90516,124,178
3.46773,124,178
0.858421,124,178
7.95656,124,178
5.93138,124,178
9.79945,124,178
4.05563,124,178
4.49398,98,179
0.61708,98,179
4.32799,98,179
0.0318604,98,179
6.69817,98,179
0.484971,98,179
6.68864,98,179
7.32876,98,179
6.90625,98,179
4.21694,98,179
0.236433,108,180
5.51851,108,180
5.40237,108,180
4.73106,108,180
7.59883,108,180
0.928291,108,180
9.87514,108,180
0.912652,108,180
2.92076,108,180
6.34032,108,180
4.31513,104,181
1.15408,104,181
1.93472,104,181
8.79969,104,181
9.39428,104,181
1.5904,104,181
5.33031,104,181
2.13294,104,181
7.02371,104,181
5.93271,104,181
5.95665,80,182
2.04199,80,182
9.92491,80,182
9.5797,80,182
7.50161,80,182
0.126231,80,182
5.45348,80,182
8.44201,80,182
4.07713,80,182
3.44602,80,182
4.99253,122,183
2.89958,122,183
4.563,122,183
2.13558,122,183
6.27448,122,183
9.56159,122,183
0.188773,122,183
4.55552,122,183
9.79535,122,183
0.948852,122,183
4.76635,148,184
1.90737,148,184
1.6862,148,184
7.44453,148,184
9.77263,148,184
6.0397,148,184
5.7238,148,184
7.19158,148,184
5.69013,148,184
3.77219,148,184
2.96737,64,185
8.30539,64,185
4.64265,64,185
6.99566,64,185
4.74261,64,185
6.25919,64,185
6.01277,64,185
0.915693,64,185
9.54398,64,185
4.77451,64,185
4.35242,128,186
8.67714,128,186
6.53744,128,186
2.99781,128,186
3.66686,128,186
7.36255,128,186
5.96793,128,186
0.42715,128,186
2.11593,128,186
7.73283,128,186
1.59131,44,187
7.57992,44,187
8.76937,44,187
7.8087,44,187
8.75599,44,187
9.4824,44,187
2.32894,44,187
3.63367,44,187
8.75889,44,187
7.52454,44,187
4.83151,72,188
2.37582,72,188
6.47429,72,188
2.5641,72,188
8.92009,72,188
7.63098,72,188
5.0182,72,188
7.10608,72,188
2.6779,72,188
4.38152,72,188
0.879176,80,189
4.01571,80,189
9.85145,80,189
4.67918,80,189
3.7641,80,189
5.44538,80,189
6.13866,80,189
7.80177,80,189
4.00926,80,189
1.41676,80,189
6.38756,120,190
5.13254,120,190
3.69833,120,190
5.74337,120,190
2.98876,120,190
8.33207,120,190
2.98809,120,190
9.02851,120,190
6.83211,120,190
9.04496,120,190
2.69566,130,191
0.204158,130,191
9.44745,130,191
0.25392,130,191
1.20567,130,191
9.8187,130,191
5.60446,130,191
3.25268,130,191
6.13901,130,191
9.09737,130,191
8.23721,104,192
9.49498,104,192
3.32179,104,192
2.60556,104,192
9.69131,104,192
0.785643,104,192
6.3326,104,192
6.79196,104,192
5.76862,104,192
9.48194,104,192
6.41049,100,193
5.41373,100,193
1.02971,100,193
0.633607,100,193
1.04216,100,193
0.89539,100,193
8.39617,100,193
4.74078,100,193
4.33457,100,193
8.96518,100,193
2.74151,120,194
7.36417,120,194
9.53761,120,194
2.0973,120,194
3.17206,120,194
4.17136,120,194
4.77635,120,194
6.62134,120,194
1.21824,120,194
4.41673,120,194
9.35502,182,195
6.38654,182,195
5.27904,182,195
4.60742,182,195
1.48653,182,195
8.22261,182,195
2.69688,182,195
9.09264,182,195
3.0038,182,195
1.85858,182,195
7.64248,118,196
4.81813,118,196
2.46874,118,196
5.5283,118,196
8.30297,118,196
9.60263,118,196
3.36107,118,196
5.8317,118,196
8.74974,118,196
6.48133,118,196
5.25528,50,197
5.22488,50,197
4.73829,50,197
6.95243,50,197
6.22684,50,197
1.72256,50,197
2.03233,50,197
0.337454,50,197
8.0043,50,197
0.546717,50,197
9.97636,116,198
5.90627,116,198
1.45726,116,198
2.18087,116,198
9.86564,116,198
3.48746,116,198
5.86703,116,198
1.9215,116,198
5.18079,116,198
2.11676,116,198
3.79606,134,199
7.55336,134,199
0.247803,134,199
1.98382,134,199
2.98633,134,199
1.6926,134,199
1.8405,134,199
2.73361,134,199
5.56758,134,199
0.380371,134,199
4.61464,96,200
7.12719,96,200
4.69298,96,200
1.26074,96,200
8.96245,96,200
4.4002,96,200
9.38071,96,200
4.85726,96,200
9.55576,96,200
6.48742,96,200
1.57633,120,201
9.39593,120,201
4.58702,120,201
9.28993,120,201
3.82011,120,201
4.68273,120,201
7.33783,120,201
7.30966,120,201
7.03435,120,201
9.62956,120,201
6.03427,128,202
9.21468,128,202
7.1228,128,202
6.1364,128,202
5.66337,128,202
9.20652,128,202
6.9525,128,202
8.06351,128,202
1.4244,128,202
2.24651,128,202
2.66016,92,203
1.61071,92,203
5.74614,92,203
4.41694,92,203
0.823445,92,203
0.277689,92,203
5.88374,92,203
0.194823,92,203
2.51951,92,203
9.12105,92,203
2.85687,136,204
4.44958,136,204
8.8883,136,204
3.03295,136,204
7.65993,136,204
8.13408,136,204
3.0777,136,204
5.69863,136,204
8.54811,136,204
3.93385,136,204
5.28255,118,205
7.95843,118,205
9.31442,118,205
9.61497,118,205
0.954502,118,205
7.15271,118,205
0.613003,118,205
9.35204,118,205
8.02579,118,205
9.0076,118,205
1.28764,92,206
0.18506,92,206
9.71519,92,206
1.32912,92,206
0.189017,92,206
3.99645,92,206
7.39852,92,206
9.95399,92,206
0.938029,92,206
5.08802,92,206
5.55578,142,207
2.66317,142,207
0.0814327,142,207
0.642008,142,207
8.96027,142,207
1.97955,142,207
4.16618,142,207
9.45971,142,207
1.23477,142,207
6.52736,142,207
0.260154,158,208
9.57789,158,208
2.2278,158,208
5.8237,158,208
2.28699,158,208
7.40719,158,208
6.98952,158,208
6.99608,158,208
3.95706,158,208
4.66207,158,208
3.65703,94,209
1.15773,94,209
3.21168,94,209
9.23149,94,209
4.45165,94,209
9.87518,94,209
0.35839,94,209
2.30054,94,209
4.16157,94,209
3.47692,94,209
2.35076,114,210
7.24963,114,210
0.794269,114,210
3.42649,114,210
0.678065,114,210
5.00744,114,210
2.3618,114,210
2.0847,114,210
0.100446,114,210
5.34048,114,210
4.31799,122,211
7.83294,122,211
8.31111,122,211
4.03909,122,211
9.37741,122,211
7.73592,122,211
7.70177,122,211
2.36929,122,211
4.84347,122,211
4.61347,122,211
1.94747,130,212
3.01248,130,212
0.406803,130,212
2.27447,130,212
3.9902,130,212
6.44363,130,212
5.29421,130,212
0.815107,130,212
8.4054,130,212
1.14961,130,212
3.12595,136,213
2.97539,136,213
7.46131,136,213
8.47456,136,213
2.64786,136,213
8.87469,136,213
8.83375,136,213
5.33937,136,213
6.20152,136,213
1.8885,136,213
0.756149,102,214
3.58272,102,214
7.27294,102,214
1.64427,102,214
8.04746,102,214
9.15742,102,214
7.43465,102,214
2.25728,102,214
2.94899,102,214
1.45313,102,214
3.56033,124,215
8.51786,124,215
1.15124,124,215
1.30425,124,215
7.16437,124,215
6.28548,124,215
9.25679,124,215
9.87063,124,215
4.83558,124,215
7.0995,124,215
8.84104,150,216
0.722025,150,216
8.9888,150,216
8.45148,150,216
2.88976,150,216
1.96903,150,216
6.07949,150,216
7.18282,150,216
2.67153,150,216
9.77253,150,216
5.59895,104,217
3.45084,104,217
6.21594,104,217
9.78315,104,217
5.27735,104,217
3.87336,104,217
0.424654,104,217
6.35788,104,217
9.51554,104,217
2.82643,104,217
7.02778,110,218
5.98154,110,218
1.45557,110,218
7.81776,110,218
4.42439,110,218
7.74956,110,218
6.15255,110,218
1.4023,110,218
5.03674,110,218
1.38993,110,218
3.41708,128,219
6.73167,128,219
5.54744,128,219
4.95109,128,219
4.61406,128,219
0.931847,128,219
4.36431,128,219
8.11259,128,219
2.7193,128,219
5.74575,128,219
4.57942,210,220
8.92143,210,220
5.82981,210,220
8.59117,210,220
8.11565,210,220
7.9835,210,220
5.66,210,220
6.09769,210,220
1.14317,210,220
0.484206,210,220
4.39054,144,221
5.06158,144,221
7.08717,144,221
4.9685,144,221
0.250992,144,221
9.38786,144,221
9.59737,144,221
1.47216,144,221
2.13158,144,221
1.77898,144,221
5.38115,114,222
5.86615,114,222
1.78431,114,222
8.76266,114,222
0.254507,114,222
5.34413,114,222
4.51556,114,222
6.479,114,222
3.61708,114,222
1.01559,114,222
2.13634,122,223
5.30095,122,223
3.00052,122,223
3.83976,122,223
4.13943,122,223
2.35327,122,223
3.23832,122,223
1.47234,122,223
0.552366,122,223
8.67398,122,223
3.66913,148,224
4.40656,148,224
5.88691,148,224
4.29865,148,224
9.82509,148,224
6.49868,148,224
8.50014,148,224
0.770142,148,224
5.84274,148,224
0.733613,148,224
9.0517,122,225
1.26392,122,225
7.14421,122,225
9.90858,122,225
6.9921,122,225
8.87665,122,225
5.91784,122,225
4.53785,122,225
8.8548,122,225
7.81612,122,225
0.328242,128,226
7.65103,128,226
3.87357,128,226
8.48859,128,226
1.42379,128,226
6.26148,128,226
8.56888,128,226
6.28768,128,226
2.64702,128,226
2.08165,128,226
8.62901,124,227
5.8504,124,227
1.38548,124,227
9.39788,124,227
7.49227,124,227
6.38055,124,227
2.4149,124,227
3.44043,124,227
2.6578,124,227
4.67904,124,227
1.37869,116,228
4.32735,116,228
3.16361,116,228
0.00592106,116,228
0.530545,116,228
7.66928,116,228
7.94549,116,228
3.85249,116,228
5.94438,116,228
7.6745,116,228
8.40026,156,229
3.64902,156,229
6.79037,156,229
0.101153,156,229
8.75123,156,229
7.00288,156,229
0.657884,156,229
3.93901,156,229
2.22908,156,229
1.0032,156,229
6.37534,110,230
3.51874,110,230
5.22608,110,230
1.39874,110,230
3.55153,110,230
1.73612,110,230
8.17335,110,230
3.15038,110,230
4.21129,110,230
3.52349,110,230
0.766721,122,231
4.54797,122,231
6.05365,122,231
8.74725,122,231
8.66814,122,231
7.37526,122,231
2.96486,122,231
9.4711,122,231
2.10141,122,231
2.71004,122,231
7.71396,124,232
2.82561,124,232
8.88935,124,232
3.6376,124,232
2.30928,124,232
0.33075,124,232
4.78562,124,232
2.0195,124,232
9.05526,124,232
3.82346,124,232
2.08694,192,233
7.36554,192,233
0.271685,192,233
0.874399,192,233
9.18979,192,233
5.08413,192,233
0.818029,192,233
8.78206,192,233
6.95142,192,233
4.15423,192,233
5.24735,124,234
7.21013,124,234
1.08382,124,234
6.93275,124,234
0.471204,124,234
7.24831,124,234
7.15636,124,234
3.75181,124,234
3.69923,124,234
3.02974,124,234
3.65368,166,235
4.64004,166,235
0.30398,166,235
2.64851,166,235
7.96201,166,235
4.94131,166,235
6.55171,166,235
3.07435,166,235
6.36485,166,235
2.11043,166,235
0.353797,76,236
2.42624,76,236
4.26826,76,236
6.87722,76,236
8.91267,76,236
2.98179,76,236
1.04103,76,236
3.03019,76,236
7.25753,76,236
4.85815,76,236
7.93391,178,237
7.1504,178,237
8.17665,178,237
5.39737,178,237
8.08694,178,237
6.21673,178,237
1.79387,178,237
6.98173,178,237
5.08701,178,237
5.47971,178,237
7.22538,114,238
3.6275,114,238
8.26186,114,238
1.0563,114,238
0.167017,114,238
8.62132,114,238
1.07275,114,238
5.54775,114,238
1.88235,114,238
0.627542,114,238
9.5435,160,239
9.51061,160,239
8.7179,160,239
8.08813,160,239
8.24565,160,239
9.39971,160,239
9.44868,160,239
9.89647,160,239
6.26671,160,239
4.85088,160,239
0.53555,144,240
1.05367,144,240
8.6996,144,240
5.29607,144,240
7.31988,144,240
0.271557,144,240
9.0303,144,240
2.54995,144,240
4.831,144,240
6.60569,144,240
6.49214,154,241
3.04283,154,241
1.78455,154,241
6.83516,154,241
4.44453,154,241
6.22905,154,241
2.72403,154,241
7.19099,154,241
3.03049,154,241
3.5524,154,241
3.69256,148,242
4.84728,148,242
4.13523,148,242
3.98113,148,242
8.51226,148,242
4.81487,148,242
3.79031,148,242
3.32441,148,242
8.01549,148,242
2.04824,148,242
7.75335,136,243
8.25005,136,243
3.31127,136,243
2.82737,136,243
1.21344,136,243
1.84074,136,243
7.29741,136,243
6.92149,136,243
3.25254,136,243
5.04529,136,243
6.22314,182,244
6.84291,182,244
7.62512,182,244
7.66589,182,244
5.05619,182,244
1.12636,182,244
2.67786,182,244
5.18902,182,244
4.11546,182,244
5.33805,182,244
2.75752,154,245
7.79101,154,245
8.25556,154,245
1.92904,154,245
5.76159,154,245
2.6947,154,245
3.87158,154,245
1.51087,154,245
6.76208,154,245
5.87071,154,245
9.00191,148,246
5.37143,148,246
2.42587,148,246
5.40042,148,246
7.80358,148,246
8.84825,148,246
6.13713,148,246
0.7278,148,246
2.58888,148,246
4.69359,148,246
6.21453,186,247
6.66234,186,247
7.78526,186,247
2.20667,186,247
5.7895,186,247
2.94703,186,247
9.53607,186,247
1.16021,186,247
4.5608,186,247
1.45164,186,247
0.649046,114,248
3.0314,114,248
4.27122,114,248
3.57751,114,248
0.93292,114,248
7.06873,114,248
0.173203,114,248
1.63771,114,248
3.95668,114,248
2.04789,114,248
7.45771,154,249
1.51937,154,249
7.85485,154,249
2.6349,154,249
7.1277,154,249
2.9064,154,249
7.5899,154,249
9.93043,154,249
4.29911,154,249
7.86559,154,249
0.56396,156,250
9.43429,156,250
1.93798,156,250
3.59126,156,250
0.406705,156,250
9.68616,156,250
0.68929,156,250
2.85812,156,250
5.20844,156,250
1.58406,156,250
9.9472,150,251
2.47353,150,251
7.05242,150,251
0.470391,150,251
1.18609,150,251
7.74643,150,251
5.8304,150,251
5.8429,150,251
5.5133,150,251
4.6792,150,251
1.21254,122,252
0.111143,122,252
8.12949,122,252
6.20482,122,252
1.48851,122,252
4.81826,122,252
3.49825,122,252
8.47784,122,252
9.07631,122,252
3.86234,122,252
5.37314,128,253
4.85305,128,253
2.75651,128,253
9.78029,128,253
2.91854,128,253
3.81029,128,253
8.48547,128,253
2.25027,128,253
1.4643,128,253
0.210432,128,253
2.44216,158,254
5.48354,158,254
0.825435,158,254
4.23398,158,254
3.57902,158,254
0.254247,158,254
3.81017,158,254
3.30654,158,254
2.98295,158,254
6.1462,158,254
5.37307,140,255
0.72494,140,255
6.96744,140,255
5.93403,140,255
1.50305,140,255
5.54296,140,255
3.23413,140,255
4.0482,140,255
9.24539,140,255
9.65693,140,255
1.10091,192,256
1.27473,192,256
8.55539,192,256
5.02804,192,256
3.94611,192,256
1.73825,192,256
2.28588,192,256
7.01146,192,256
3.75273,192,256
3.39228,192,256
5.97555,180,257
9.64361,180,257
6.1797,180,257
1.25997,180,257
5.23743,180,257
6.61602,180,257
9.47984,180,257
9.49317,180,257
0.0644433,180,257
1.21996,180,257
9.04076,156,258
8.98085,156,258
0.495577,156,258
4.77707,156,258
3.0531,156,258
2.06277,156,258
9.34491,156,258
8.61443,156,258
2.78101,156,258
2.38886,156,258
7.93822,78,259
3.41014,78,259
0.953968,78,259
0.518746,78,259
7.4538,78,259
9.40987,78,259
0.592698,78,259
7.3371,78,259
9.79696,78,259
5.22018,78,259
7.90212,158,260
2.31126,158,260
0.785047,158,260
9.51834,158,260
5.30096,158,260
2.05802,158,260
5.20613,158,260
3.89928,158,260
4.36485,158,260
7.2892,158,260
0.1781,100,261
6.96889,100,261
7.70283,100,261
6.73918,100,261
7.73889,100,261
1.92317,100,261
7.45371,100,261
1.20361,100,261
7.2053,100,261
9.44359,100,261
6.66206,174,262
3.5424,174,262
3.83796,174,262
3.20244,174,262
8.40289,174,262
5.77418,174,262
8.1268,174,262
9.10273,174,262
6.61784,174,262
5.76144,174,262
8.96601,188,263
2.30714,188,263
0.830784,188,263
2.38913,188,263
5.50868,188,263
9.14947,188,263
6.48915,188,263
5.03099,188,263
4.57718,188,263
8.77587,188,263
9.7328,146,264
1.27333,146,264
8.3296,146,264
1.90703,146,264
0.208206,146,264
4.23397,146,264
3.81032,146,264
5.1355,146,264
6.79884,146,264
2.57181,146,264
6.78157,248,265
7.81565,248,265
2.42969,248,265
3.24849,248,265
9.31985,248,265
1.3868,248,265
4.73666,248,265
5.46984,248,265
0.125975,248,265
3.59693,248,265
4.46768,120,266
6.50512,120,266
2.47635,120,266
7.04218,120,266
0.92825,120,266
2.90196,120,266
4.13895,120,266
0.154,120,266
0.562561,120,266
5.90674,120,266
2.89588,128,267
3.89074,128,267
6.7293,128,267
0.802876,128,267
9.71894,128,267
4.17174,128,267
6.94422,128,267
9.78192,128,267
3.92222,128,267
3.96837,128,267
6.46835,164,268
7.83304,164,268
5.46166,164,268
9.04969,164,268
9.40092,164,268
5.06694,164,268
0.939044,164,268
4.8508,164,268
6.51046,164,268
8.37249,164,268
4.93009,154,269
0.275073,154,269
1.42252,154,269
1.47639,154,269
3.9133,154,269
2.17473,154,269
7.3835,154,269
1.81643,154,269
2.14564,154,269
3.36716,154,269
4.8348,138,270
4.52494,138,270
1.61164,138,270
7.02636,138,270
8.24696,138,270
4.10311,138,270
1.46654,138,270
6.90566,138,270
1.10065,138,270
5.71736,138,270
0.715487,160,271
6.00253,160,271
8.82002,160,271
1.5042,160,271
5.01294,160,271
2.12149,160,271
2.49066,160,271
6.22368,160,271
7.152,160,271
9.64523,160,271
4.88242,168,272
3.93305,168,272
3.61346,168,272
7.37996,168,272
7.37546,168,272
6.67584,168,272
2.24936,168,272
3.40809,168,272
4.9458,168,272
3.89241,168,272
8.98504,160,273
4.51988,160,273
3.74241,160,273
5.44673,160,273
8.21242,160,273
4.50108,160,273
8.4332,160,273
6.15197,160,273
3.13554,160,273
4.25196,160,273
8.65219,170,274
8.43621,170,274
7.31035,170,274
3.62538,170,274
0.287388,170,274
5.17871,170,274
9.62247,170,274
6.99717,170,274
6.39857,170,274
7.81077,170,274
6.57152,172,275
2.74214,172,275
7.105,172,275
4.85363,172,275
4.24019,172,275
0.616825,172,275
8.74882,172,275
2.0094,172,275
0.514374,172,275
9.13973,172,275
3.89449,160,276
0.235206,160,276
9.08776,160,276
4.56066,160,276
8.82981,160,276
2.68655,160,276
4.77595,160,276
3.36233,160,276
5.03436,160,276
9.17723,160,276
7.76538,150,277
3.63623,150,277
7.05331,150,277
1.66763,150,277
0.300114,150,277
9.74885,150,277
9.43679,150,277
2.16005,150,277
4.47748,150,277
4.63447,150,277
8.26425,178,278
3.42872,178,278
5.49634,178,278
8.28487,178,278
2.322,178,278
8.93765,178,278
2.29983,178,278
4.79606,178,278
5.94428,178,278
2.69842,178,278
6.12127,160,279
8.44712,160,279
6.37122,160,279
7.59731,160,279
3.43788,160,279
4.1309,160,279
0.236524,160,279
1.83358,160,279
8.92564,160,279
0.783067,160,279
6.05192,136,280
4.59563,136,280
3.16596,136,280
7.93604,136,280
6.69381,136,280
2.04885,136,280
1.78474,136,280
0.244761,136,280
1.23945,136,280
9.3178,136,280
0.940073,156,281
3.58085,156,281
7.33508,156,281
9.03966,156,281
5.06525,156,281
3.32865,156,281
6.1416,156,281
9.34641,156,281
2.5499,156,281
3.20359,156,281
9.06455,198,282
0.599106,198,282
9.71166,198,282
8.63583,198,282
5.80996,198,282
2.48055,198,282
4.22662,198,282
7.0299,198,282
2.99549,198,282
6.58795,198,282
0.0693341,156,283
1.9229,156,283
4.20886,156,283
2.46718,156,283
2.75878,156,283
0.483661,156,283
0.671459,156,283
0.645036,156,283
2.69473,156,283
8.9604,156,283
0.680687,170,284
4.23112,170,284
0.965669,170,284
3.99594,170,284
9.80531,170,284
1.70901,170,284
2.61553,170,284
1.51253,170,284
8.76291,170,284
9.16162,170,284
7.01776,174,285
2.2861,174,285
4.22034,174,285
9.9578,174,285
0.784586,174,285
8.92993,174,285
0.531668,174,285
7.08815,174,285
1.2916,174,285
7.6288,174,285
8.72959,192,286
9.59383,192,286
0.326873,192,286
6.38634,192,286
5.14595,192,286
8.74897,192,286
7.17539,192,286
9.3812,192,286
2.66316,192,286
8.33871,192,286
1.87125,188,287
0.967329,188,287
3.90031,188,287
8.73699,188,287
1.24405,188,287
6.61878,188,287
2.92254,188,287
2.92089,188,287
8.30473,188,287
5.15256,188,287
5.33218,204,288
1.28761,204,288
0.0654884,204,288
2.81378,204,288
1.77767,204,288
1.4073,204,288
5.55437,204,288
9.8616,204,288
0.407009,204,288
8.27033,204,288
0.917471,192,289
8.7234,192,289
4.96968,192,289
8.13593,192,289
1.45441,192,289
3.76635,192,289
0.320472,192,289
9.19813,192,289
8.40847,192,289
4.39007,192,289
7.66726,182,290
7.11293,182,290
5.38077,182,290
9.226,182,290
1.76687,182,290
3.84334,182,290
2.98999,182,290
4.37855,182,290
7.07322,182,290
5.01045,182,290
0.459003,192,291
5.29429,192,291
0.968618,192,291
2.90267,192,291
8.95958,192,291
9.39352,192,291
9.02657,192,291
5.67789,192,291
1.00261,192,291
2.63859,192,291
9.2498,172,292
7.74758,172,292
6.25978,172,292
0.229825,172,292
1.59701,172,292
0.255402,172,292
8.12322,172,292
7.13203,172,292
7.58982,172,292
6.46443,172,292
3.24123,178,293
6.64418,178,293
3.42186,178,293
6.79953,178,293
1.95628,178,293
2.76164,178,293
4.03778,178,293
1.99504,178,293
6.6887,178,293
3.22383,178,293
0.780912,182,294
4.95587,182,294
5.76248,182,294
5.27667,182,294
5.956,182,294
6.94856,182,294
8.71962,182,294
4.84606,182,294
7.90816,182,294
6.71685,182,294
9.81356,190,295
4.28685,190,295
2.11104,190,295
7.17704,190,295
0.264197,190,295
8.25707,190,295
9.08518,190,295
3.43242,190,295
6.68534,190,295
4.5596,190,295
3.74959,196,296
7.22901,196,296
8.15559,196,296
1.92008,196,296
5.71226,196,296
4.40113,196,296
3.18793,196,296
0.202038,196,296
6.50146,196,296
6.15225,196,296
4.34886,122,297
7.91115,122,297
2.34974,122,297
2.29714,122,297
1.51752,122,297
6.51027,122,297
4.15257,122,297
1.27023,122,297
5.04957,122,297
8.71693,122,297
6.8606,188,298
4.84794,188,298
5.18568,188,298
9.58569,188,298
0.618095,188,298
4.49419,188,298
7.88231,188,298
2.2734,188,298
6.38691,188,298
6.12915,188,298
4.62471,228,299
9.48153,228,299
6.87811,228,299
5.75504,228,299
9.82873,228,299
8.83476,228,299
3.97434,228,299
0.84033,228,299
5.89432,228,299
5.54063,228,299
3.4582,204,300
8.52981,204,300
4.31951,204,300
2.20956,204,300
8.2326,204,300
0.445093,204,300
2.90459,204,300
4.60798,204,300
2.9247,204,300
4.28657,204,300
7.18064,138,301
1.13841,138,301
4.25541,138,301
2.9343,138,301
1.43087,138,301
4.10819,138,301
3.90871,138,301
4.20679,138,301
0.648696,138,301
5.76795,138,301
3.70383,176,302
1.20438,176,302
6.22834,176,302
5.59834,176,302
3.04658,176,302
9.72231,176,302
5.65431,176,302
6.79633,176,302
4.03383,176,302
0.0471232,176,302
7.27189,194,303
6.98213,194,303
6.33055,194,303
9.94189,194,303
6.94836,194,303
6.57268,194,303
5.96036,194,303
8.87093,194,303
0.662055,194,303
5.98735,194,303
5.05366,208,304
7.46973,208,304
6.73462,208,304
6.90054,208,304
4.19707,208,304
8.96744,208,304
0.401487,208,304
0.219181,208,304
2.66085,208,304
1.67663,208,304
0.413411,214,305
8.06162,214,305
1.28938,214,305
0.0148921,214,305
2.04895,214,305
3.48707,214,305
7.74782,214,305
5.63021,214,305
5.28401,214,305
0.967582,214,305
6.40755,196,306
1.12463,196,306
6.37561,196,306
7.82832,196,306
0.366345,196,306
6.42524,196,306
7.35178,196,306
8.5449,196,306
2.2781,196,306
1.57192,196,306
9.50304,216,307
3.25792,216,307
7.42829,216,307
6.93351,216,307
7.95968,216,307
7.29248,216,307
0.250395,216,307
2.2699,216,307
0.130813,216,307
6.98767,216,307
3.36608,200,308
2.63187,200,308
0.318002,200,308
6.73962,200,308
6.02714,200,308
1.93937,200,308
0.690864,200,308
0.884403,200,308
5.19271,200,308
7.49452,200,308
3.37808,216,309
9.66778,216,309
6.08902,216,309
4.61719,216,309
8.58952,216,309
4.03837,216,309
5.48244,216,309
3.65875,216,309
0.551874,216,309
5.02191,216,309
5.83299,150,310
3.40816,150,310
7.32174,150,310
4.73568,150,310
4.18002,150,310
1.67456,150,310
8.00781,150,310
3.47857,150,310
0.544495,150,310
1.44252,150,310
2.34304,220,311
