Time,N
43259,64
42858,64
42885,64
50863,65
51370,65
49399,65
50109,65
50486,65
59840,65
50836,65
51859,65
51159,65
50836,65
23931,66
23247,66
24669,66
24937,66
23937,66
24935,66
23936,66
23938,66
22866,66
22910,66
24928,67
24905,67
24905,67
25897,67
26901,67
27898,67
28924,67
25654,67
25916,67
26018,67
44094,68
42948,68
42858,68
45877,68
52852,68
45435,68
45876,68
45876,68
45951,68
46670,68
38883,69
41853,69
40889,69
41094,69
39863,69
39009,69
38505,69
39891,69
39997,69
37896,69
39892,70
41028,70
38862,70
39858,70
43849,70
40609,70
41538,70
45877,70
39867,70
42065,70
28912,71
25673,71
25897,71
26928,71
28968,71
28922,71
26928,71
27923,71
26821,71
26901,71
103712,72
96739,72
97468,72
104691,72
98702,72
118702,72
95744,72
94745,72
93723,72
95745,72
60809,73
50862,73
46874,73
47870,73
46875,73
49106,73
46875,73
45118,73
43848,73
54850,73
45847,74
48868,74
46875,74
48841,74
45946,74
44597,74
43851,74
45843,74
44852,74
44880,74
52825,75
54826,75
55830,75
54823,75
53947,75
55663,75
56847,75
83774,75
64824,75
62832,75
64762,76
64752,76
62829,76
64191,76
64799,76
59838,76
61705,76
81753,76
108716,76
80781,76
31912,77
34911,77
36902,77
33880,77
32883,77
28894,77
28921,77
27238,77
26923,77
24899,77
43883,78
41888,78
45877,78
42524,78
41023,78
38861,78
38865,78
39917,78
46873,78
45876,78
39869,79
38894,79
47871,79
52831,79
48868,79
53822,79
56846,79
53855,79
49869,79
50849,79
59810,80
61834,80
56954,80
53853,80
52181,80
50865,80
51160,80
49288,80
48035,80
49460,80
52825,81
52852,81
58813,81
54852,81
55094,81
52524,81
54853,81
52858,81
52972,81
52858,81
38894,82
41381,82
38643,82
38157,82
38863,82
38892,82
39931,82
38698,82
39892,82
40845,82
77792,83
88729,83
79224,83
75798,83
76795,83
75797,83
75797,83
72807,83
71807,83
73495,83
47869,84
44190,84
44849,84
43854,84
47871,84
47060,84
43882,84
45276,84
45876,84
44880,84
61534,85
60835,85
59838,85
60428,85
61832,85
62499,85
61802,85
74773,85
63308,85
68816,85
44853,86
42885,86
43883,86
45877,86
43881,86
41888,86
43882,86
41859,86
43883,86
41887,86
27926,87
29760,87
27512,87
26461,87
26892,87
48858,87
27924,87
32879,87
30780,87
28895,87
62830,88
61593,88
62406,88
61183,88
60810,88
61834,88
65823,88
64041,88
60844,88
58843,88
124667,89
106714,89
109840,89
104998,89
107683,89
105714,89
115563,89
107679,89
108709,89
107713,89
91754,90
89758,90
86767,90
87878,90
86767,90
90755,90
103721,90
92751,90
93747,90
91754,90
78395,91
78790,91
78788,91
77964,91
76793,91
74800,91
95744,91
79785,91
78789,91
75940,91
23960,92
20944,92
22902,92
22667,92
27926,92
23936,92
21942,92
25906,92
24935,92
22905,92
24903,93
25930,93
25005,93
25930,93
26927,93
24931,93
24295,93
25061,93
24608,93
26895,93
16987,94
18948,94
17918,94
18319,94
17951,94
17950,94
16922,94
17950,94
18949,94
17952,94
56014,95
55819,95
62833,95
60981,95
58842,95
57843,95
55848,95
57828,95
53855,95
54851,95
80537,96
85770,96
82745,96
81780,96
95235,96
82871,96
85771,96
85770,96
80802,96
81780,96
72805,97
74800,97
75274,97
89762,97
99707,97
